标题,情绪,情绪分数
两个涨停,True,0.5175298062310599
东方财富网股吧社区内容治理公告,False,0.3165155285043616
谁来跟我辨析，北方铜业不是真面目的龙头！,False,0.18267952709989932
这一个亿的打板资金是真牛.大家给10万手哥点点赞[呲牙],True,0.9887039385231642
这几个月应该都是炒涨价概念，金属，化工，高铁，猪肉，水电，原材料很多涨价很厉害，,True,0.9493141688591542
北方铜业重组后首次现金分红 一季度营收净利双增长,True,0.5415707152394295
北方铜业：2023年归母净利润6.19亿元 同比增长11.56% 拟10派1元,True,0.7351451418633836
北方铜业一季度营收同比增长112.78%,False,0.46691979935850403
新一次浪潮即将涌现，既是告诫，也是明灯！,True,0.9207438243222463
 尊敬的董秘您好，子公司北铜新材公司生产的高性能压延铜带箔和覆铜板是否可以用于集,True,0.9914697749289857
董秘你好，经过近20年的发展，公司已成长为我国华北区域最大的阴极铜供应商。根据碧,True,0.999805517390509
发行新股时的市净率10倍的民生银行现在的市净率0.31,False,0.17716312726011973
就未分配利润而言。这股价没有任何风险。长线持有分红比存银行强太多,False,0.029384491798960966
中国的银行股，稳定的股息，得到越来越多投资者的认可。多年以来，在舆论的错误引导下,True,0.9901673431245047
民生银行中期分红0.3，，然后特别分红0.4,True,0.777446820471904
每次来这里咋心如刀割，买了十几个银行股个个都吃一口红烧肉，肥牛离开的，就你让咋带,False,0.07435288786806515
下周见到4.1+,False,0.4892513945757535
3月底4元附近卖了10%，一直等回调3.7到3.6，就没等到[滴汗][滴汗][滴,False,0.0005619249092382317
民生银行跟兴业银行、浦发银行没法比！,False,0.00583470610726744
4.51[吃瓜],False,0.4737672181921908
民生银行：融资净买入210.69万元，融资余额38.9亿元（05-24）,True,0.9951870450009649
回血失败，民生银行困兽犹斗,False,0.35231505684968334
又一家银行对协定存款下手！银行压降负债成本进入“深水区”,False,0.028727691105403297
民生银行股价落后于农行百分之十了，加油干！,True,0.7225702495822806
大宗交易：民生银行成交1194万元，成交均价3.98元（05-24）,False,0.09935656415964589
钱在民生手里没什么效益，不如早点分红大家算了,True,0.8618554979634262
神啊，4.02让我成功卖掉吧。,False,0.354760602170346
[大笑]150050010004900下周见，大家一起做T,True,0.8495166633479875
民生银行：融资净买入1577.77万元，融资余额38.88亿元（05-23）,True,0.9951870450009649
[大笑]今天T狗踩踏，都想做T,True,0.9851078187392733
别的银行都在创新高。这垃圾无敌焉,True,0.77686627608347
下来容易上去难,False,0.48365530667329815
“515”后银行继续压降“高息”对公协定存款 民生银行最新调整三类产品 后续或有更多银行跟进,False,0.04369587748444215
民生银行市净率最低,False,0.4112457030275589
【读财报】上市银行数字金融透视：信息科技投入普增 中信、民生银行增速快,True,0.9999994580117277
破净股数据[24/05/23],False,0.1428770010655268
挂单4.02卖，不知明天能不能如愿。,False,0.06085725058368785
明天会涨,True,0.5026546869308217
今天算不错了在这里太多了散户，成本从4.9搞到4.06能分红就好，已经不算差,False,0.008819291757412917
民生最差的境遇已经过去，相比于其它银行，这一轮涨幅明显偏弱，该补涨了,False,0.4510229841483079
民生银行：融资净偿还1830.81万元，融资余额38.72亿元（05-22）,True,0.9856987970949229
应有一个创新高的梦,True,0.8306056204566835
拿着行业最高薪酬，投入行业最高资金搞科技，却做出行业最差业绩！不禁让人怀疑该行高,True,0.9999217799489901
401,False,0.5
争议性股票被恒大窝害太深，舍不得割几千股就算支持恒大咯,True,0.9371194886538123
东方财富网股吧社区内容治理公告,False,0.3165155285043616
民生银行“老将”丛军拟接棒民生理财董事长 民生理财管理产品规模已破1万亿,True,0.9777550452738835
12元净资产回到6元不过分吧[上涨][上涨][大笑][大笑][大笑][主力][主,False,0.0030959749436785255
批准中期分红，4块的民生银行股息率将达8%以上。,False,0.03125414048284303
这样的股票最好了，很适合做T、做波段，无风险套利。,True,0.978628373857317
一年后突破7.7高地,True,0.961956689028312
最后十分钟，神仙打架了。好事情，这股终于有人说不了。,True,0.5436027133367194
港股从2.4到3.2涨8毛三分之一了。A只涨了4毛，十个点，严重落后啊,False,0.008281081941221236
民生银行助力2024年国际中体联足球世界杯 盛大开幕,True,0.613476046994561
破净股数据[24/05/22],False,0.1428770010655268
明天4.03开始建仓了[微笑],False,0.392672189730742
银行股回升到10倍市盈率，才进入牛市行情。10倍市盈率股票\年回报永比存款利率和,True,0.9784579586626994
民生净资产都有12元，要翻倍,False,0.3155390510404824
今天4.04没卖出去，明天感觉会调整了,False,0.24570598323636816
14.5奶奶的,True,0.5939889282141876
今天吃错药了，这么硬,True,0.5356817245016918
兴业资管《关于泛海控股集团36.35亿元债权资产的招商公告》,False,0.3564487725676765
民生银行:H股公告-董事会会议召开日期,False,0.06489654797306821
四年了，相对前住业绩每年都是跨了一半。还甩锅前任，这面皮赛过城墙厚。,False,0.3756417945721522
民生银行正走在正确的道路上,True,0.959839785789316
民生银行一季度营收净利润双降：今年被罚超600万，合规备受考验,True,0.9662047044655991
既来之，则安之，民生银行我来了。欢迎我们的从军带头大哥,True,0.6998132381786047
留存收益，如果不能转化为市值，将利润留下，对股东来说，就没有任何意义。应该提高分,True,0.9284269808339798
按照巴菲特的观点，留存收益，如果不能转化为市值，将利润留下，对股东来说，就没有任,True,0.9988854945118836
吧里那几个明显机器人，要么就是股托唱多,True,0.8326055456993623
巴菲特提醒投资者说了,True,0.9974509292502605
民生银行要涨停随时拉板！,True,0.6440609640695292
"18元时122万户,11元时75万户,3.3元时40万户,涨到4元33万户",True,0.882954561304259
民生银行底部磨了一年一年又一年，整整三年，新行长任职资格也确认，可以放手大干了，,False,0.010548463877917857
高迎欣就是拿高新不会炒菜的厨师长，厨师们谁会服,False,0.03819218624091847
民生银行:中国民生银行关于诉讼事项进展的公告,True,0.9588641540532556
3.92元买的每股净资产12.43元+拨备2.23+应收款8.22+商誉1.22,True,0.6265327292970345
"4月5日在美丽坚上市银行的市盈率,市净率,每股收益,每股净资产 印度私营HDFC",False,0.45424878531245316
买银行股前需要读懂的一些重要财务知识,True,0.883927902613686
让3年半收益率冠军的成都银行收购兼并3年半倒数后3名的民生银行,False,0.08885884910276654
"外国资本可以持有银行100%股权,民生银行具备外资收购概念",True,0.933671880249179
2020年开始巳经将逾期60天以上的贷款全部纳入了不良贷款,False,0.045879720764896326
被境外恶势力恶意唱空的银行股巳经跌到了下跌也能赚钱的超临界状态,False,0.055416392124796876
如果我有20w股招商银行，我就跟别人说，在招行上班了。平时不用打卡，每天在办公室,False,0.38582521673518666
从14年开始，各路资金开始热衷于炒招商银行，但没人愿意把真实的理由公之于众。虽然,True,0.949164512483417
和格力一样现在难挣钱了,False,0.30744655327450976
持有三年没动窝，坚定坚持再持有三年,False,0.16703967775023443
A股股东户数最多的15个公司：5个公司股东数超80万,False,0.4992333880480876
1 天赚了 10 年利息…,False,0.11777852196284888
招商银行高管层再“微调” 十年老将CIO江朝阳上调招商局集团 曾亲历招行金融科技投入大爆发,True,0.9987973541190319
溢价50%再加上有去无回的200亿贷款，估计要砸到20,False,0.09161624172558036
"目标 -》三年内到1000W，立贴为证。每周记录(当前整体仓位8.5成, 市值 459W, 资产总计 539W)",True,0.8557214124251941
股市自渡,True,0.890142453148024
美股T+1结算时代”即将于下2024年5月29日周二正式开启,False,0.25610817119816076
大部分商业银行估值市净低于0.6.招商银行估值偏高了。,False,0.016889213206337628
没有幻想，直接清仓,True,0.9618442821679852
招行现价红利再买增筹码6.02%,True,0.9205247359001346
招商银行：连续5日融资净买入累计6.7亿元（05-24）,True,0.8320801175709468
九卦 | 招行CIO变动，信息技术部总经理周天虹或接任,True,0.6447971512001335
下来就是机会，随便上,True,0.5127588126506598
万科实现融资重大进展：获招行牵头200亿银团贷款,True,0.9827195819649771
增持招商银行，两天擦掉三万利润。,False,0.022918722800037816
今天没有操作，账户浮亏了2%，我认为下周肯定有反抽，但是能反抽多高要看有没有增量,False,0.05247803654014871
招商银行中短线回调看跌,False,0.11259393630821979
问题都不大，不用过度担心，顶多破一下3100就会收上来,False,0.05530345850009466
招商银行，曾经价值投资的典范，何时回归曾经的荣耀,True,0.9953982644049684
招行五连跌近6个点，前两天融资净买入，后几天融资净卖出，看融资流入流出不靠谱，看,True,0.9908744512681366
上周37时为了6%的股息没买，这周分分钟被教育，几天就跌了7个点,False,0.2323071495976966
满仓了。,False,0.2668358022734604
大V说了，招行要跌回28.,False,0.05962425747379507
博时基金官宣 招行老将张东新任公司总经理,False,0.2807585239731184
数日单边下跌，数月交易招行跑输城商行,False,0.4125064107227485
数据赋能：MAXHUB以小数据聚能大模型，推动行业数字化新动能,True,0.986548599640881
这次带大盘上的基本上银行权重贡献最大,True,0.8592385421491584
了，其他银行涨了一个星期，你跌了一个星期,False,0.16142110598945336
动不动就是连跌10天半月,False,0.02054835409498368
周线不乐观,True,0.8650408545267325
幸好36跑了，等接回,False,0.08180811562685653
有能耐再跌一周，我就回来接,False,0.06977343015036774
没跌6个点加一次，涨10个点出一次，买银行就是要有耐心,False,0.17145815086498217
空头的风向标！！！,False,0.07802189081080124
31.35，缺口必补！！到了半仓,False,0.14773727759514377
自从给了万科200亿后就跌跌不休,False,0.2769591600993361
跌不停为什么呢,False,0.0900109715819063
完了，我又满仓了,False,0.39233911364525564
与万科沾边就玩完,True,0.9619118470522068
最差的银行，以后除了招行，其他银行随便买,False,0.010688731879074043
下周低吸建仓，准备起飞我说的耶稣来了都不好使,False,0.15861340743758967
礼拜一涨停。求你了。。。,False,0.25538316256791926
这轮行情，招商行成为空军的领头先锋哥,True,0.922966312910843
周一大涨不要被人家看不起，不要让人家以为我们输不起,True,0.5820968739471887
呵呵，不跌停，跌不停，不停跌[滴汗][滴汗],False,0.017381372880036716
裤衩子都没了,True,0.8307614952304091
A字下杀！快卖！,False,0.49426368319318703
5连阴了,False,0.47140466023303407
跌这么多,False,0.2272727272727273
腰斩再腰斩,False,0.14607611999266157
5月股市不贪高，落袋为安！,True,0.9779794675954157
自助者他助！万科全力行动受市场认可 获招行牵头200亿银团贷款,True,0.9409008371936608
200亿银团贷款落定！万科获招行等金融机构力挺,True,0.9980839448363884
今天招行跌是因为借钱给万科200亿大利空，万科为啥涨收到200亿借款利好,False,0.011387406662656141
利率趋下，缩量拿筹！股息率高筹码珍贵！,True,0.8476992076780654
东方财富网股吧社区内容治理公告,False,0.3165155285043616
股票还是不要做套的好，今年来，我在招行上一直做套，都有小赚，但是，到现在算了下，,True,0.8374688312926876
不骗大家，持仓不动到现在能赚18900*5.7=107730，而现在才赚5100,False,0.0022469255541019972
银行股现在有没有投资的必要，关键看银行的成长性！房地产已经不行了，银行躺着赚钱的,True,0.924845293501676
2007年11月1日中证银行指数8512点2008年1月4日上证银行指数1091,False,0.0003212039118980492
"沪深京5585家上市公司1月19日平均市净率2.36倍,平均市盈率45.57倍",False,0.017345813372151797
对于高盛、摩根大通等外资看好A股的理由，主要有多方面：一、A股股息率依然不高，上,False,0.03190983164351846
中远海控从2021一季度至2024年一季度资产质量的飞跃增长,True,0.9970387361372339
ZIM海运股大涨,False,0.3612994620359502
转发,False,0.5
很少发言了，不爱发言了，能持仓的都不是一般人，什么蜗牛什么星辰大海，什么唱多什么,True,0.8118140310341482
中远海控，周一基本上会跳空高开，有持仓的今天可以去吃个大鸡腿。,True,0.9718686016649136
这股看好的散户太多了，可以需要来一根进行充分洗洗了,False,0.004114608763681971
高位盘整K线呈一字形,False,0.4333753880455439
海皇又到了最熟悉的周五收盘利好，周六涨停，周日回调，周一平开低走的节奏。,True,0.7463055697576882
外围航运股大涨，下周海控16见,True,0.6349951067515369
周一涨不涨不知道，但一个月必定过16，这轿子坐定了，不抬也得抬，就是这么拽[大笑,False,0.0004132521855924054
ZIM继续大涨8.37%,True,0.6533758079553305
昨晚ZIM大涨8%，已经突破形态了,True,0.9824151376867937
涨不涨不知道，反正比外面500个st股强多了,False,0.07501675014068898
海控80%、石化10%、长电10%，5月份总体盈利16.3%，跑赢大盘。,True,0.8806582426508928
星期一红我就买绿我就卖,True,0.6428627814631528
5月旺季来了了预计第二季度业绩1.5元,False,0.0742269549377308
高位震荡都是熊的语言，留1000股先撤了，估计没半个月调整不会到位，挣了4块多了,False,0.14528332468472172
高点跑了大部分[坏笑]周一杀一杀让我接回来,False,0.05375170243766414
洗到14以下会被抢,False,0.22657355875757956
等你回调到11,False,0.06950855084080942
大师，我觉得周一还会盘一个十字星。这样上涨就很完美了。双叉十字斩,True,0.7930456440084088
下周一大涨！！！,False,0.3289405906505435
海控，现价买入是绝对正确的，无他,True,0.9840597745986678
永辉超市供应链再升级，提升商品价格竞争力,True,0.7645625407684195
海控股友们，当死多头五年！！结果一定出乎意料，过百时候不要说你早卖了！,True,0.6903183738787414
中远海控：融资净偿还103.14万元，融资余额43.83亿元（05-24）,True,0.9996115050364943
$中远海控(SH601919)$,True,0.9698900084466959
如果不是大盘这么烂，中远涨停没毛病[赞][赞][赞],True,0.9985498733203333
散户在念经,False,0.4737672181921917
$中远海控(SH601919)$,True,0.9698900084466959
唱多没用股票没涨只能说躲过了外面的大跌,False,0.1435319405526022
中远海控:中远海控关于股票期权激励计划限制行权期间的提示性公告,True,0.9995907965681919
认准价值回归大势，咬定青山不放松，管尔东南西北风,True,0.9945166783324517
找点小乐趣，既不唱多，也不唱空,True,0.9366593931241896
大摩：上调中远海控AH股至平配,True,0.9848399209375964
2024年一季报点评：集运市场回归常态，综合服务商展现经营韧性,True,0.9985627956092666
中远海控助力中国车企抢滩墨西哥和巴西市场,True,0.999323945325097
股价每一次走高多是依靠运价的提升，如果运价一直维持稳定或小幅下跌，股价会不会回到,True,0.988319882097199
海控应该很快要冲击一下15了,True,0.9678848536756066
外围很久没这么酣畅淋漓的涨过了[奸笑][奸笑]，海控下周冲击一下15不过分吧[旺,True,0.902543693531011
格隆汇5月24日｜摩根士丹利：将中远海控(01919.HK)H股评级上调至平配，,False,0.008540803613708237
美股航运龙头大涨,True,0.5331697764866131
按现在的运价，第二季度利润会不会有300亿呢,False,0.14739902962680584
下星期高开是肯定的,False,0.4128886733392273
下周满上猛干15,False,0.09759410440325134
行情没得说，基本面也没有什么说！人家继续狂,True,0.9898674515480047
海控密码1414,True,0.7382197085293782
海运费翻了一倍了,False,0.18753391043007983
下周一起飞！,False,0.4737672181921917
2024-5-24你们太在乎一城一地的得失，而且总只看眼前的，看的稍微远一点都难,True,0.9922297995033095
1414，牛牛哇,True,0.6924495226848428
来来来，战友们预测收盘价喽！,True,0.9608258588698068
太磨蹭了,False,0.1359066153446793
买港股,False,0.23082833962758653
中远海控14.00的价格还能不能长投以最悲观的态度和以较乐观的态度预测长期回报，,True,0.9995580305470709
5月股市不贪高，落袋为安！,True,0.9779794675954157
今天大盘暴跌啊，盘中跌幅最大到达了1.7%，咱们手里头的票那是全红啊，又是吃肉的,False,0.20833254853515049
链动“港航货”，中远海控助力客户打通汽车出海新通道,True,0.9019825765438019
东方财富网股吧社区内容治理公告,False,0.3165155285043616
【调研快报】中远海控接待中信建投等多家机构调研,True,0.8910352703063065
中远海控和大秦铁路Q2经营预测,True,0.9772035865493707
海运价格再迎上涨“加速度”：相关期货半年翻5倍,False,0.3144853190781879
买入点已经萎缩状态,True,0.5836827573869146
海航科技是龙头,False,0.24307110338827054
这是一份不能碰的股票名单,False,0.042244912446347094
中远海控2024年Q1财报除净利润以外的看点,True,0.9963204030874918
标题,False,0.352941176470588
东方财富网股吧社区内容治理公告,False,0.3165155285043616
九州和电科院哪个好，明天直接干,False,0.1991337864441276
下周连拉一周[兴奋][鼓掌][大笑],True,0.9610552340884759
第1期 | 周末重点消息汇总,False,0.35697108254686694
五月妖股！！！,True,0.7115604508343044
今天是星期天，昨天这人气是第1名，今天就变成第2名了，到星期一开盘就变成垃圾了。,False,0.007363529014309811
明天能20cm嘛,False,0.2845935741427815
超短线选股思路看成交量和涨跌幅当日的K线选股技巧方法。一支股票在下跌调整的途中，,True,0.7682797577078345
双头撤退,False,0.4737672181921908
业绩大增，锁定退市，央企财政部的操作。,False,0.1916765722976821
耀云私董会黄勇耀云私董会助理张雅馨专员余舒晗这三个人是骗子骗了我50万请大家不要,True,0.9832245494673777
老师说了，至少三个板，市场龙头,True,0.6636279437405862
*ST工智一季度4.3亿营收，而且利润为正，市值和*ST宁科一样，宁科一季度营收,False,0.05945230024093817
这个人气又反超上来了，真是激烈啊，明天开盘希望直接涨停让我先跑，我是大学生,False,0.15615312345874977
发生了什么事，人气如此疯狂,False,0.37051585039504575
电力！核心！,True,0.8308160356340009
这家公司藏了什么宝贝！如此神秘！[奸笑],True,0.9810135427509193
和西高院一样,True,0.5836621109992702
谁能告诉我是为啥，也没有明显利好啊，散户抬轿没有这个实力吧，周五买的，新慌得不行,False,0.008498151985641855
电力不能长久，电磁屏蔽和HDl才是当前热点，具有长久性,True,0.637906362094621
好好好，周一坚决出你了…居然你这样乱搞人气，是在为另外谁在打掩护呢,False,0.07092473660291243
电科院人气鼎盛，小作文和某音的引流发挥作用了，这也意味盛极则衰，利润兑现周一是必,False,0.341280972332367
下周重点关注正丹股份，正虹科技，电科院和瑞迪智驱。,True,0.9165559199302648
周五应该是一个比较好的卖点了，可以逢高出局，不要去追高，关注我发财！,True,0.9895228007422998
M字头，大伙快撤,False,0.08091963546508729
A股：预猜下周10只电力低位股,False,0.004985354343453596
减持新规一出，又有一大帮机构要借利好出货了！！周一赶紧跑！！最近机构们一直都是借,True,0.6533199160815524
现在业绩不行的很容易收关注函，这种产业链的个股少参与，保本要紧。,True,0.7507532716308795
难以解释的热度，在同花顺等其他软件都排不上号。唯一可以预见的就是东财散户多，这也,False,0.030329333333041553
长势喜人！大丰收啦！[大笑][上涨],False,0.22243427141532046
*ST工智一季度4.3亿营收，而且利润为正，市值和*ST宁科一样，而宁科一季度营,False,0.21759207897427657
派诺科技，北交所最正的智能电力和虚拟电厂。,True,0.5949878344544184
英伟达散热模组国内唯一供应商，液冷散热中的核心物件！[大笑]夏日精研。,True,0.9716521269963844
$电科院(SZ300215)$,False,0.44767845850986676
明显放量拉高出货。,False,0.47086472365900567
"公司2014年12月17日晚间公告,公司已于近日获得中国人民解放军总后勤部颁发的",False,0.3886680713621615
"电力+军工公司2014年12月17日晚间公告,公司已于近日获得中国人民解放军总后",True,0.8240414618625503
不得不说和这个模型很像。,True,0.8691965435523126
光刻机、自动驾驶、激光、半导体玻璃基板…募投项目今年可以部分投产，达产后产能翻倍,False,0.2821801605293641
热度拉爆,False,0.2595608149919123
股性比业务类同的西高院强太多了,True,0.6333234782237473
好股股，好主力，本月已经涨了百分之44.01个点[吃瓜][吃瓜][吃瓜][吃瓜],True,0.6585624835525453
周一开盘买入“博威合金”，高速铜连接一哥，英伟达供应商（间接）、华为昇腾910C,False,0.08870615211682353
下周还能继续飞，拿稳喽,True,0.8399219170512013
英伟达液冷散热模组，液冷散中的核心物件！[大笑]夏日精研。,True,0.9448197572754486
T起来，持续拿。,True,0.813830711336608
百灵不看消息，只看盘面，从盘面来看下周将继续上涨，没上车的找机会上车即可,True,0.7517605395523894
仔细看了电科院的介绍，里面有“首位”、“世界第一”、“中国第一”等字眼。电科院的,True,0.9963164916715939
理性分析。早安。正丹股份。正业科技。正虹科技。正字辈。家人们霸榜是人气高的表现，,True,0.9999392900040835
【高盛最新观点！】,True,0.9121699883786983
写给正在炒股的你：碰到一点压力就觉得不堪重负，碰到一点不确定性就把前途描摹成暗淡,False,0.11948267905088561
我坚守已久的电科院也马上迎来20cm，激动人心啊！今天忍住了都没有卖[大笑],True,0.6394210266298133
转发,False,0.5
转发,False,0.5
很多人说王叔是不是真谷神，王叔去年10万本金开始炒股的，目前总资产166万左右，,True,0.9801829824206277
000420碳纤维全国第一【碳纤维具有良好的电磁屏蔽性能】也是一种高性能增强纤维,True,0.9659564738053511
为什么热度这么高,True,0.7429463125515539
记得去年炒软件的时候。荣联科技有一天涨停了。然后当天晚上人气总榜第一。那会我还想,True,0.9701262328625337
下周带电的字热死算了。,False,0.3789800936978519
牢记均线这样用，不然你就亏大了。第一、在60日均线之下的股票，坚决不碰。第二、在,False,0.000949926737480733
关注广哈通信[哭][哭][哭][大笑][大笑][大笑]周末低空经济出超级利好[大,True,0.9997812871102028
大势至菩萨阿弥陀佛右肋侍者与阿尼陀佛及阿尼陀佛左肋侍者合称“蔚蓝三大护盘之神”大,False,0.008227622951729185
$英伟达(NASDAQ|NVDA)$$电科院(SZ300215)$$明星电力(S,False,0.047080540400653126
9月18日，电科院披露关于发现公司公章被伪造的风险提示性公告称，2023年9月1,False,0.010967939076110711
你们去看看同花顺热门股票排行榜，还有那个雪球排行榜，还有其他热门股票排行榜，都不,False,0.002123877175436939
水分很大，水分特别大，人气第一很假。,False,0.30276934563759794
不知不觉本月涨了四十多个点[吃瓜][吃瓜][吃瓜],True,0.9112139160666572
利好主力高开兑现出局，拉高后，主力不愁没人接盘[奸笑],False,0.33122058987737035
000996年报因涉及参股公司国期的部分投资收益，无需国期审计报表，且国期财报不,True,0.9989201258022125
转发,False,0.5
转发,False,0.5
明显是超买了，周一肯定暴跌,True,0.7073158933660498
同花顺热门股票排行80左右，这个人气第一水分很大，压根不正常。你们发现没有，周五,True,0.6885135989378275
转发,False,0.5
不能追高，这个股票买了就被套。,True,0.8345331076835096
关于高抛低吸，分享五点：我们每一只股票其实都是可以赚钱的，当然这也是短线高手才能,True,0.8579056376421386
同花顺热门股票排行80左右，这个人气第一水分很大，压根不正常。你们发现没有，周五,True,0.6885135989378275
上一个人气突然暴涨到第一的是7.12元的万丰奥维……,True,0.6562286286448267
000996年报因涉及参股公司国期的部分投资收益，无需国期审计报表，且国期财报不,True,0.9989201258022125
我手上还有一点点电科院。电科院这人气有点怪，同花顺看了下人气80多名，微博搜了下,False,0.1390412644162926
靠，第一人气，不容易呀[鼓掌],True,0.7046462326597169
奔驰最近五年的净利润！,True,0.7764681988379529
这么高的人气，周一不说高开七八个点把前高包了，至少得高开5个点把上影线包了吧,False,0.1484629910010533
人气排名第一，好像星期一低价难以买到了。,False,0.10048041102760663
星期一全仓抢,True,0.6115486021079929
为什么人气突然第一,True,0.607246374458002
周一直接按地下,False,0.4696818957039105
刚才小作文让我来看看,True,0.7682944686536545
002193如意集团，大哥些去盘他。,False,0.2403068833050216
英伟达暴涨电磁屏蔽材料,False,0.06721935156620074
智算中心：产业链整体受益2024年政府工作报告中指出，深化大数据、人工智能等研发,True,0.9996062727213818
继高速铜连接、玻璃基板之后，英伟达又带火了电磁屏蔽概念。概念股周五表现强势，国内,True,0.632230745414328
李一恩，我在他直播间，说“牛逼，越说越离谱，在洗脑了”，就被拉黑了。我感到很冤。,False,0.13591815546380392
今日目标 电科院,True,0.9681480310846784
周一不可能涨停。,False,0.40367725234018703
人气第一并不能说明股价就一定会大涨，但应该也不是什么坏事，总比默默无闻的好吧，这,True,0.9607218366073899
艾森股份受益于半导体国产替代，玻璃基板概念股，业绩高速发展，年报净利润增长百分之,True,0.9999585096888188
续3个交易日内收type_tag settop tag_20价格涨幅较基准指数偏离值,True,0.5960603643139567
抖音上领的免费票，验证完毕，说是电力改革，国网要有动作，难怪今天一看人气那么高,False,0.21237998950385995
就冲这人气，我就可以很肯定的说，周一肯定大跌没跑了,False,0.1180486808523229
大家快去买天山天山申请摘帽了，以前的腰,False,0.385564817088468
买江苏死路一条，可看所有江苏上市公司,True,0.7549106089313881
随便你礼拜一必须走，埋伏科大智能,False,0.38218813024200415
明显放量拉高出货。,False,0.47086472365900567
